Tweet,Time,Link,Media
Day 400.2: Arrived at Dellinger,2017-04-07 22:11:50.550000,http://wenamethestars.inkleby.com/feature/1473,http://wenamethestars.inkleby.com/static/moon/1744.png
Dellinger is named after John Howard Dellinger - American physicist (1886 -1962).,2017-04-07 22:12:50.550000,https://en.wikipedia.org/wiki/John_Howard_Dellinger,
Day 400.6: Arrived at Marconi,2017-04-08 06:43:18.300000,http://wenamethestars.inkleby.com/feature/3659,http://wenamethestars.inkleby.com/static/moon/1745.png
"Marconi is named after Guglielmo Marconi - Italian physicist, inventor; Nobel laureate (1874 -1937).",2017-04-08 06:44:18.300000,https://en.wikipedia.org/wiki/Guglielmo_Marconi,
Day 401.0: Arrived at Denning,2017-04-08 16:48:30.510000,http://wenamethestars.inkleby.com/feature/1489,http://wenamethestars.inkleby.com/static/moon/1746.png
Day 401.3: Arrived at Pirquet,2017-04-09 00:06:01.530000,http://wenamethestars.inkleby.com/feature/4738,http://wenamethestars.inkleby.com/static/moon/1747.png
Pirquet is named after Baron Guido von Pirquet - Austrian (spacecraft trajectories) astronaut (1880 -1966).,2017-04-09 00:07:01.530000,https://en.wikipedia.org/wiki/Clemens_von_Pirquet,
Day 401.7: Arrived at Fesenkov,2017-04-09 08:59:04.560000,http://wenamethestars.inkleby.com/feature/1947,http://wenamethestars.inkleby.com/static/moon/1748.png
Day 401.8: Arrived at Stark,2017-04-09 12:07:33.690000,http://wenamethestars.inkleby.com/feature/5683,http://wenamethestars.inkleby.com/static/moon/1749.png
Stark is named after Johannes Stark - German physicist; Nobel laureate (1874 -1957).,2017-04-09 12:08:33.690000,https://en.wikipedia.org/wiki/Johannes_Stark,
Day 402.0: Arrived at Subbotin,2017-04-09 17:24:48.690000,http://wenamethestars.inkleby.com/feature/5740,http://wenamethestars.inkleby.com/static/moon/1750.png
Subbotin is named after Mikhail Fedorovich Subbotin - Soviet astronomer (1893 -1966).,2017-04-09 17:25:48.690000,https://en.wikipedia.org/wiki/1692_Subbotina,
Day 402.3: Arrived at Lampland,2017-04-10 00:43:46.470000,http://wenamethestars.inkleby.com/feature/3259,http://wenamethestars.inkleby.com/static/moon/1751.png
Lampland is named after Carl Otto Lampland - American astronomer (1873 -1951).,2017-04-10 00:44:46.470000,https://en.wikipedia.org/wiki/Carl_Otto_Lampland,
Day 402.6: Arrived at Eötvös,2017-04-10 08:04:18.480000,http://wenamethestars.inkleby.com/feature/1893,http://wenamethestars.inkleby.com/static/moon/1752.png
Eötvös is named after Lóránt (English  - Roland) von Eötvös - Hungarian physicist (1848 -1919).,2017-04-10 08:05:18.480000,https://en.wikipedia.org/wiki/Lor%C3%A1nd_E%C3%B6tv%C3%B6s,
